iter	Passed	Remaining
192	341	1425
193	341	1420
194	342	1414
195	343	1408
196	344	1403
197	345	1397
198	346	1393
199	346	1387
200	347	1382
201	348	1377
202	349	1372
203	350	1367
204	351	1362
205	352	1356
206	352	1352
207	353	1346
208	354	1342
209	355	1337
210	356	1332
211	357	1327
212	357	1322
213	358	1318
214	359	1313
215	360	1309
216	362	1307
217	363	1303
218	364	1298
219	365	1294
220	366	1290
221	366	1286
222	368	1282
223	369	1280
224	370	1277
225	371	1272
226	372	1268
227	373	1263
228	374	1259
229	375	1256
230	376	1252
231	377	1248
232	378	1244
233	378	1240
234	379	1236
235	380	1232
236	381	1228
237	382	1224
238	383	1220
239	384	1216
240	384	1211
241	385	1208
242	386	1203
243	387	1199
244	388	1196
245	388	1192
246	389	1188
247	390	1184
248	392	1183
249	393	1179
250	394	1177
251	395	1173
252	396	1170
253	397	1166
254	398	1163
255	398	1159
256	399	1156
257	400	1152
258	401	1149
259	402	1146
260	404	1145
261	405	1142
262	406	1139
263	407	1136
264	409	1134
265	410	1133
266	411	1129
267	412	1125
268	413	1122
269	413	1118
270	414	1115
271	415	1111
272	416	1108
273	416	1104
274	417	1101
275	418	1097
276	419	1095
277	421	1094
278	422	1091
279	423	1088
280	424	1085
281	425	1082
282	425	1079
283	426	1076
284	428	1073
285	428	1070
286	429	1067
287	430	1064
288	431	1062
289	433	1060
290	434	1058
291	436	1057
292	437	1054
293	438	1052
294	439	1049
295	440	1048
296	441	1045
297	442	1042
298	443	1040
299	444	1037
300	445	1034
301	446	1032
302	447	1029
303	448	1026
304	449	1024
305	451	1023
306	452	1020
307	453	1018
308	454	1015
309	455	1012
310	456	1010
311	457	1007
312	457	1004
313	458	1002
314	459	999
315	460	997
316	461	994
317	462	991
318	463	990
319	464	987
320	466	985
321	467	983
322	468	980
323	468	978
324	469	975
325	470	973
326	471	970
327	472	968
328	473	965
329	474	963
330	475	960
331	477	960
332	480	963
333	482	961
334	483	959
335	485	958
336	486	956
337	487	954
338	488	952
339	491	954
340	492	952
341	493	950
342	495	948
343	496	946
344	497	944
345	498	942
346	499	939
347	500	936
348	500	934
349	501	931
350	502	929
351	503	926
352	504	924
353	505	922
354	506	919
355	507	917
356	507	914
357	508	912
358	509	910
359	510	907
360	511	905
361	512	903
362	514	902
363	515	900
364	516	897
365	517	896
366	518	894
367	519	892
368	520	890
369	521	887
370	522	885
371	522	882
372	524	880
373	525	879
374	526	877
375	527	875
376	528	872
377	529	870
378	529	868
379	530	865
380	531	863
381	532	861
382	533	859
383	534	856
384	534	854
385	536	853
386	537	851
387	538	848
388	539	846
389	540	845
390	541	843
391	542	841
392	543	839
393	544	837
394	545	834
395	545	832
396	546	830
397	547	828
398	548	825
399	549	823
400	550	821
401	551	820
402	552	818
403	554	817
404	555	816
405	557	815
406	558	813
407	559	811
408	560	809
409	560	807
410	561	805
411	562	802
412	563	800
413	564	798
414	565	796
415	565	794
416	566	792
417	567	790
418	568	788
419	569	787
420	570	785
421	571	783
422	572	781
423	573	779
424	574	777
425	575	775
426	576	773
427	577	771
428	578	769
429	579	767
430	580	766
431	581	764
432	582	763
433	583	761
434	584	759
435	585	757
436	586	755
437	587	753
438	588	751
439	589	749
440	589	747
441	590	745
442	591	743
443	592	741
444	593	739
445	594	737
446	594	735
447	595	733
448	596	732
449	597	730
450	598	728
451	599	726
452	600	725
453	601	723
454	602	721
455	603	720
456	604	718
457	606	717
458	607	715
459	608	713
460	609	712
461	609	710
462	610	708
463	611	706
464	612	704
465	613	702
466	614	701
467	615	699
468	616	697
469	617	695
470	617	694
471	618	692
472	619	690
473	620	688
474	621	686
475	622	685
476	623	683
477	624	681
478	625	680
479	626	678
480	628	678
481	630	677
482	631	675
483	632	674
484	633	672
485	634	671
486	635	669
487	636	667
488	636	665
489	637	663
490	638	662
491	639	660
492	640	658
493	641	657
494	642	655
495	643	653
496	644	652
497	645	650
498	646	649
499	647	647
500	648	645
501	649	644
502	649	642
503	650	640
504	651	638
505	651	636
506	652	634
507	652	632
508	653	630
509	654	628
510	654	626
511	655	624
512	656	623
513	656	621
514	658	619
515	659	618
516	660	616
517	660	615
518	661	613
519	662	611
520	663	609
521	664	608
522	664	606
523	665	604
524	666	602
525	666	601
526	667	599
527	668	597
528	669	596
529	670	594
530	670	592
531	671	590
532	672	589
533	673	587
534	674	586
535	675	584
536	675	582
537	676	581
538	677	579
539	678	577
540	679	576
541	679	574
542	680	572
543	681	571
544	682	569
545	682	567
546	683	566
547	684	564
548	685	563
549	686	561
550	686	559
551	687	557
552	688	556
553	689	554
554	689	553
555	690	551
556	691	549
557	692	548
558	692	546
559	693	544
560	694	543
561	694	541
562	695	539
563	695	537
564	696	536
565	697	534
566	697	532
567	698	531
568	699	529
569	699	527
570	700	526
571	701	524
572	701	522
573	702	521
574	703	519
575	703	518
576	704	516
577	705	515
578	706	513
579	706	511
580	707	510
581	708	508
582	708	506
583	709	505
584	710	503
585	710	502
586	711	500
587	712	498
588	712	497
589	713	495
590	713	494
591	714	492
592	715	490
593	716	489
594	746	508
595	747	507
596	749	505
597	750	504
598	751	503
599	752	501
600	753	500
601	754	499
602	755	497
603	756	496
604	757	494
605	759	493
606	760	492
607	762	491
608	763	490
609	764	488
610	765	487
611	766	486
612	767	484
613	768	482
614	768	481
615	769	479
616	770	478
617	771	476
618	771	475
619	772	473
620	773	471
621	773	470
622	774	468
623	774	466
624	775	465
625	776	463
626	776	462
627	777	460
628	778	458
629	778	457
630	779	455
631	779	454
632	780	452
633	781	451
634	782	449
635	783	448
636	784	447
637	785	445
638	786	444
639	786	442
640	787	441
641	787	439
642	788	437
643	789	436
644	790	434
645	790	433
646	791	431
647	791	430
648	792	428
649	793	427
650	793	425
651	794	423
652	795	422
653	795	420
654	796	419
655	797	418
656	798	416
657	798	415
658	799	413
659	800	412
660	800	410
661	801	409
662	802	407
663	802	406
664	803	404
665	804	403
666	804	401
667	805	400
668	806	398
669	806	397
670	807	395
671	808	394
672	808	392
673	809	391
674	809	389
675	810	388
676	811	387
677	812	385
678	813	384
679	814	383
680	814	381
681	815	380
682	816	378
683	816	377
684	817	375
685	817	374
686	818	372
687	819	371
688	820	370
689	820	368
690	821	367
691	821	365
692	822	364
693	823	362
694	823	361
695	824	360
696	825	358
697	825	357
698	826	355
699	827	354
700	828	353
701	829	351
702	829	350
703	830	349
704	831	347
705	831	346
706	832	344
707	832	343
708	833	342
709	834	340
710	834	339
711	835	337
712	836	336
713	836	335
714	837	333
715	838	332
716	839	331
717	839	329
718	840	328
719	841	327
720	842	326
721	843	324
722	844	323
723	845	322
724	846	320
725	846	319
726	847	318
727	848	317
728	849	315
729	850	314
730	851	313
731	852	312
732	853	310
733	854	309
734	854	308
735	855	306
736	856	305
737	857	304
738	858	303
739	859	302
740	860	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	866	293
747	867	292
748	868	291
749	869	289
750	869	288
751	870	286
752	870	285
753	871	284
754	872	283
755	873	281
756	874	280
757	875	279
758	876	278
759	877	277
760	878	275
761	878	274
762	879	273
763	880	272
764	881	270
765	882	269
766	883	268
767	884	267
768	884	265
769	885	264
770	886	263
771	888	262
772	888	261
773	889	259
774	890	258
775	891	257
776	892	256
777	893	254
778	894	253
779	895	252
780	896	251
781	897	250
782	898	249
783	899	247
784	900	246
785	901	245
786	902	244
787	903	243
788	904	241
789	905	240
790	906	239
791	907	238
792	907	236
793	908	235
794	909	234
795	910	233
796	911	232
797	912	230
798	913	229
799	914	228
800	914	227
801	915	226
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	922	217
809	922	216
810	923	215
811	924	213
812	924	212
813	925	211
814	926	210
815	927	209
816	928	207
817	929	206
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	937	200
824	938	199
825	939	197
826	939	196
827	940	195
828	941	194
829	942	193
830	943	191
831	944	190
832	944	189
833	945	188
834	946	187
835	948	185
836	948	184
837	949	183
838	950	182
839	951	181
840	952	180
841	953	178
842	954	177
843	955	176
844	956	175
845	957	174
846	959	173
847	960	172
848	961	170
849	962	169
850	963	168
851	963	167
852	964	166
853	965	165
854	966	163
855	967	162
856	968	161
857	969	160
858	969	159
859	970	158
860	971	156
861	972	155
862	973	154
863	974	153
864	975	152
865	975	151
866	977	149
867	978	148
868	979	147
869	980	146
870	981	145
871	982	144
872	983	143
873	984	141
874	985	140
875	986	139
876	987	138
877	987	137
878	988	136
879	989	134
880	990	133
881	991	132
882	992	131
883	993	130
884	994	129
885	995	128
886	996	126
887	996	125
888	997	124
889	998	123
890	999	122
891	1000	121
892	1001	120
893	1003	118
894	1004	117
895	1004	116
896	1005	115
897	1007	114
898	1008	113
899	1008	112
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1013	105
906	1014	104
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	95
915	1023	93
916	1024	92
917	1026	91
918	1027	90
919	1028	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1032	83
925	1033	82
926	1034	81
927	1034	80
928	1035	79
929	1036	78
930	1037	76
931	1038	75
932	1039	74
933	1039	73
934	1040	72
935	1041	71
936	1042	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1047	64
942	1048	63
943	1049	62
944	1050	61
945	1051	60
946	1052	58
947	1053	57
948	1054	56
949	1055	55
950	1056	54
951	1057	53
952	1057	52
953	1058	51
954	1059	49
955	1060	48
956	1061	47
957	1062	46
958	1063	45
959	1064	44
960	1065	43
961	1066	42
962	1067	41
963	1068	39
964	1070	38
965	1071	37
966	1072	36
967	1073	35
968	1074	34
969	1075	33
970	1075	32
971	1076	31
972	1077	29
973	1078	28
974	1079	27
975	1080	26
976	1081	25
977	1082	24
978	1083	23
979	1084	22
980	1085	21
981	1086	19
982	1087	18
983	1088	17
984	1089	16
985	1090	15
986	1091	14
987	1093	13
988	1094	12
989	1096	11
990	1097	9
991	1097	8
992	1098	7
993	1099	6
994	1100	5
995	1101	4
996	1102	3
997	1103	2
998	1103	1
999	1104	0
